row_id,code_id,q_id,split,q,n,k,r,rate,capacity_margin,column_weight,parity_check_density,row_weight_mean,row_weight_variance,row_weight_min,row_weight_max,column_weight_mean,column_weight_variance,column_weight_min,column_weight_max,N_dep_2,N_dep_3,N_dep_4,dependency_subset_tests,dependency_count_status,min_dependency_order,q_power_2,q_power_3,q_power_4,N_dep_2_q2,N_dep_3_q3,N_dep_4_q4,H_dep_4,log1p_H_dep_4
code_n24_k12_cw3_011_q01,code_n24_k12_cw3_011,q01,validation,0.24,24,12,12,0.5,0.26,3,0.25,6.0,5.5,2.0,11.0,3.0,0.0,3.0,3.0,2,44,471,12926,exact,2,0.0576,0.013823999999999998,0.0033177599999999995,0.1152,0.6082559999999999,1.5626649599999998,2.28612096,1.1897078296496906
code_n24_k12_cw3_011_q02,code_n24_k12_cw3_011,q02,validation,0.3,24,12,12,0.5,0.19999999999999996,3,0.25,6.0,5.5,2.0,11.0,3.0,0.0,3.0,3.0,2,44,471,12926,exact,2,0.09,0.026999999999999996,0.0081,0.18,1.1879999999999997,3.8150999999999997,5.1831,1.8218197638242628
code_n24_k12_cw3_011_q03,code_n24_k12_cw3_011,q03,validation,0.36,24,12,12,0.5,0.14,3,0.25,6.0,5.5,2.0,11.0,3.0,0.0,3.0,3.0,2,44,471,12926,exact,2,0.1296,0.046655999999999996,0.016796159999999997,0.2592,2.052864,7.910991359999999,10.223055359999998,2.4179701767493875
code_n24_k12_cw3_012_q00,code_n24_k12_cw3_012,q00,train,0.18,24,12,12,0.5,0.32000000000000006,3,0.25,6.0,7.0,2.0,11.0,3.0,0.0,3.0,3.0,1,22,247,12926,exact,2,0.0324,0.0058319999999999995,0.0010497599999999998,0.0324,0.128304,0.25929072,0.41999472,0.3506531532963973
code_n24_k12_cw3_012_q01,code_n24_k12_cw3_012,q01,train,0.24,24,12,12,0.5,0.26,3,0.25,6.0,7.0,2.0,11.0,3.0,0.0,3.0,3.0,1,22,247,12926,exact,2,0.0576,0.013823999999999998,0.0033177599999999995,0.0576,0.30412799999999995,0.8194867199999999,1.1812147199999998,0.7798819326257618
code_n24_k12_cw3_012_q02,code_n24_k12_cw3_012,q02,train,0.3,24,12,12,0.5,0.19999999999999996,3,0.25,6.0,7.0,2.0,11.0,3.0,0.0,3.0,3.0,1,22,247,12926,exact,2,0.09,0.026999999999999996,0.0081,0.09,0.5939999999999999,2.0006999999999997,2.6846999999999994,1.3041891112010469
code_n24_k12_cw3_012_q03,code_n24_k12_cw3_012,q03,train,0.36,24,12,12,0.5,0.14,3,0.25,6.0,7.0,2.0,11.0,3.0,0.0,3.0,3.0,1,22,247,12926,exact,2,0.1296,0.046655999999999996,0.016796159999999997,0.1296,1.026432,4.14865152,5.304683519999999,1.8412927730738002
code_n24_k12_cw3_013_q00,code_n24_k12_cw3_013,q00,validation,0.18,24,12,12,0.5,0.32000000000000006,3,0.25,6.0,4.833333333333333,2.0,11.0,3.0,0.0,3.0,3.0,2,44,466,12926,exact,2,0.0324,0.0058319999999999995,0.0010497599999999998,0.0648,0.256608,0.4891881599999999,0.81059616,0.5936561612130348
code_n24_k12_cw3_013_q01,code_n24_k12_cw3_013,q01,validation,0.24,24,12,12,0.5,0.26,3,0.25,6.0,4.833333333333333,2.0,11.0,3.0,0.0,3.0,3.0,2,44,466,12926,exact,2,0.0576,0.013823999999999998,0.0033177599999999995,0.1152,0.6082559999999999,1.5460761599999997,2.26953216,1.1846469043372336
code_n24_k12_cw3_013_q02,code_n24_k12_cw3_013,q02,validation,0.3,24,12,12,0.5,0.19999999999999996,3,0.25,6.0,4.833333333333333,2.0,11.0,3.0,0.0,3.0,3.0,2,44,466,12926,exact,2,0.09,0.026999999999999996,0.0081,0.18,1.1879999999999997,3.7746,5.1426,1.8152481052969591
code_n24_k12_cw3_013_q03,code_n24_k12_cw3_013,q03,validation,0.36,24,12,12,0.5,0.14,3,0.25,6.0,4.833333333333333,2.0,11.0,3.0,0.0,3.0,3.0,2,44,466,12926,exact,2,0.1296,0.046655999999999996,0.016796159999999997,0.2592,2.052864,7.827010559999999,10.13907456,2.410459157439717
code_n24_k12_cw3_014_q00,code_n24_k12_cw3_014,q00,train,0.18,24,12,12,0.5,0.32000000000000006,3,0.25,6.0,4.666666666666667,3.0,10.0,3.0,0.0,3.0,3.0,1,22,241,12926,exact,2,0.0324,0.0058319999999999995,0.0010497599999999998,0.0324,0.128304,0.25299215999999997,0.41369616,0.346207664610723
code_n24_k12_cw3_014_q01,code_n24_k12_cw3_014,q01,train,0.24,24,12,12,0.5,0.26,3,0.25,6.0,4.666666666666667,3.0,10.0,3.0,0.0,3.0,3.0,1,22,241,12926,exact,2,0.0576,0.013823999999999998,0.0033177599999999995,0.0576,0.30412799999999995,0.7995801599999999,1.16130816,0.7707136680060912
code_n24_k12_cw3_014_q02,code_n24_k12_cw3_014,q02,train,0.3,24,12,12,0.5,0.19999999999999996,3,0.25,6.0,4.666666666666667,3.0,10.0,3.0,0.0,3.0,3.0,1,22,241,12926,exact,2,0.09,0.026999999999999996,0.0081,0.09,0.5939999999999999,1.9521,2.6361,1.2909116786873136
code_n24_k12_cw3_014_q03,code_n24_k12_cw3_014,q03,train,0.36,24,12,12,0.5,0.14,3,0.25,6.0,4.666666666666667,3.0,10.0,3.0,0.0,3.0,3.0,1,22,241,12926,exact,2,0.1296,0.046655999999999996,0.016796159999999997,0.1296,1.026432,4.0478745599999995,5.203906559999999,1.8251791839500646
code_n24_k12_cw3_015_q00,code_n24_k12_cw3_015,q00,train,0.18,24,12,12,0.5,0.32000000000000006,3,0.25,6.0,7.0,2.0,10.0,3.0,0.0,3.0,3.0,2,44,472,12926,exact,2,0.0324,0.0058319999999999995,0.0010497599999999998,0.0648,0.256608,0.49548671999999994,0.81689472,0.5971288460732708
code_n24_k12_cw3_015_q01,code_n24_k12_cw3_015,q01,train,0.24,24,12,12,0.5,0.26,3,0.25,6.0,7.0,2.0,10.0,3.0,0.0,3.0,3.0,2,44,472,12926,exact,2,0.0576,0.013823999999999998,0.0033177599999999995,0.1152,0.6082559999999999,1.5659827199999998,2.2894387199999997,1.1907169483994258
code_n24_k12_cw3_015_q02,code_n24_k12_cw3_015,q02,train,0.3,24,12,12,0.5,0.19999999999999996,3,0.25,6.0,7.0,2.0,10.0,3.0,0.0,3.0,3.0,2,44,472,12926,exact,2,0.09,0.026999999999999996,0.0081,0.18,1.1879999999999997,3.8232,5.191199999999999,1.8231289289741122
code_n24_k12_cw3_015_q03,code_n24_k12_cw3_015,q03,train,0.36,24,12,12,0.5,0.14,3,0.25,6.0,7.0,2.0,10.0,3.0,0.0,3.0,3.0,2,44,472,12926,exact,2,0.1296,0.046655999999999996,0.016796159999999997,0.2592,2.052864,7.927787519999999,10.239851519999998,2.41946563441388
code_n24_k12_cw3_016_q00,code_n24_k12_cw3_016,q00,test,0.18,24,12,12,0.5,0.32000000000000006,3,0.25,6.0,2.5,4.0,9.0,3.0,0.0,3.0,3.0,0,0,10,12926,exact,4,0.0324,0.0058319999999999995,0.0010497599999999998,0.0,0.0,0.0104976,0.0104976,0.010442882796867616
code_n24_k12_cw3_016_q01,code_n24_k12_cw3_016,q01,test,0.24,24,12,12,0.5,0.26,3,0.25,6.0,2.5,4.0,9.0,3.0,0.0,3.0,3.0,0,0,10,12926,exact,4,0.0576,0.013823999999999998,0.0033177599999999995,0.0,0.0,0.033177599999999995,0.033177599999999995,0.0326391017877269
code_n24_k12_cw3_016_q02,code_n24_k12_cw3_016,q02,test,0.3,24,12,12,0.5,0.19999999999999996,3,0.25,6.0,2.5,4.0,9.0,3.0,0.0,3.0,3.0,0,0,10,12926,exact,4,0.09,0.026999999999999996,0.0081,0.0,0.0,0.08099999999999999,0.08099999999999999,0.07788653865707122
code_n24_k12_cw3_016_q03,code_n24_k12_cw3_016,q03,test,0.36,24,12,12,0.5,0.14,3,0.25,6.0,2.5,4.0,9.0,3.0,0.0,3.0,3.0,0,0,10,12926,exact,4,0.1296,0.046655999999999996,0.016796159999999997,0.0,0.0,0.1679616,0.1679616,0.15526000715325558
code_n24_k12_cw3_017_q00,code_n24_k12_cw3_017,q00,train,0.18,24,12,12,0.5,0.32000000000000006,3,0.25,6.0,8.333333333333334,2.0,13.0,3.0,0.0,3.0,3.0,1,22,241,12926,exact,2,0.0324,0.0058319999999999995,0.0010497599999999998,0.0324,0.128304,0.25299215999999997,0.41369616,0.346207664610723
