code_id,N_dep_2,N_dep_3,N_dep_4,dependency_subset_tests,dependency_count_status,min_dependency_order
code_n32_k16_cw3_093,0,0,3,41416,exact,4
code_n32_k16_cw3_094,1,30,440,41416,exact,2
code_n32_k16_cw3_095,1,30,446,41416,exact,2
code_n32_k16_cw3_096,0,0,6,41416,exact,4
code_n32_k16_cw3_097,1,30,442,41416,exact,2
code_n32_k16_cw3_098,0,0,7,41416,exact,4
code_n32_k16_cw3_099,1,30,441,41416,exact,2
code_n32_k16_cw3_100,3,90,1307,41416,exact,2
code_n32_k16_cw3_101,3,90,1306,41416,exact,2
code_n32_k16_cw3_102,2,60,875,41416,exact,2
code_n32_k16_cw3_103,1,30,437,41416,exact,2
code_n32_k16_cw3_104,1,30,446,41416,exact,2
code_n32_k16_cw3_105,0,0,4,41416,exact,4
code_n32_k16_cw3_106,2,60,872,41416,exact,2
code_n32_k16_cw3_107,1,30,442,41416,exact,2
code_n32_k16_cw3_108,1,30,440,41416,exact,2
code_n32_k16_cw3_109,1,30,444,41416,exact,2
code_n32_k16_cw3_110,2,60,876,41416,exact,2
code_n32_k16_cw3_111,0,0,5,41416,exact,4
code_n32_k16_cw3_112,1,30,444,41416,exact,2
code_n32_k16_cw3_113,2,60,876,41416,exact,2
code_n32_k16_cw3_114,0,0,3,41416,exact,4
code_n32_k16_cw3_115,0,0,6,41416,exact,4
code_n32_k16_cw3_116,2,60,874,41416,exact,2
code_n32_k16_cw3_117,2,60,875,41416,exact,2
code_n32_k16_cw3_118,2,60,876,41416,exact,2
code_n32_k16_cw3_119,2,60,888,41416,exact,2
