row_id,code_id,q_id,split,q,n,k,r,rate,capacity_margin,column_weight,parity_check_density,check_degree_mean,check_degree_variance,check_degree_min,check_degree_max,variable_degree_mean,variable_degree_variance,variable_degree_min,variable_degree_max,check_degree_count_1,variable_degree_count_1,check_degree_count_2,variable_degree_count_2,check_degree_count_3,variable_degree_count_3,check_degree_count_4,variable_degree_count_4,check_degree_count_ge5,variable_degree_count_ge5,stopping_subset_tests,stopping_count_status,min_stopping_order,N_stop_2,N_stop_3,N_stop_4,N_stop_5,dependency_subset_tests,dependency_count_status,min_dependency_order,N_dep_2,N_dep_3,N_dep_4,q_power_2,q_power_3,q_power_4,q_power_5,N_stop_2_q2,N_stop_3_q3,N_stop_4_q4,N_stop_5_q5,N_dep_2_q2,N_dep_3_q3,N_dep_4_q4,H_stop_5,log1p_H_stop_5,H_dep_4,log1p_H_dep_4
code_n24_k12_cw3_005_q00,code_n24_k12_cw3_005,q00,validation,0.18,24,12,12,0.5,0.32000000000000006,3,0.25,6.0,3.1666666666666665,3.0,9.0,3.0,0.0,3.0,3.0,0,0,0,0,1,24,2,0,9,0,55430,exact_all,2,1,2,12,59,12926,exact,2,1,22,238,0.0324,0.0058319999999999995,0.0010497599999999998,0.00018895679999999997,0.0324,0.011663999999999999,0.012597119999999998,0.011148451199999998,0.0324,0.128304,0.24984287999999996,0.06780957119999999,0.06560942052008349,0.41054687999999995,0.343977487348574
code_n24_k12_cw3_005_q01,code_n24_k12_cw3_005,q01,validation,0.24,24,12,12,0.5,0.26,3,0.25,6.0,3.1666666666666665,3.0,9.0,3.0,0.0,3.0,3.0,0,0,0,0,1,24,2,0,9,0,55430,exact_all,2,1,2,12,59,12926,exact,2,1,22,238,0.0576,0.013823999999999998,0.0033177599999999995,0.0007962623999999999,0.0576,0.027647999999999995,0.039813119999999994,0.04697948159999999,0.0576,0.30412799999999995,0.7896268799999999,0.17204060159999995,0.15874633355817883,1.15135488,0.7660978204057728
code_n24_k12_cw3_005_q02,code_n24_k12_cw3_005,q02,validation,0.3,24,12,12,0.5,0.19999999999999996,3,0.25,6.0,3.1666666666666665,3.0,9.0,3.0,0.0,3.0,3.0,0,0,0,0,1,24,2,0,9,0,55430,exact_all,2,1,2,12,59,12926,exact,2,1,22,238,0.09,0.026999999999999996,0.0081,0.0024299999999999994,0.09,0.05399999999999999,0.0972,0.14336999999999997,0.09,0.5939999999999999,1.9278,0.38456999999999997,0.32538962211964706,2.6117999999999997,1.2842062630361057
code_n24_k12_cw3_005_q03,code_n24_k12_cw3_005,q03,validation,0.36,24,12,12,0.5,0.14,3,0.25,6.0,3.1666666666666665,3.0,9.0,3.0,0.0,3.0,3.0,0,0,0,0,1,24,2,0,9,0,55430,exact_all,2,1,2,12,59,12926,exact,2,1,22,238,0.1296,0.046655999999999996,0.016796159999999997,0.006046617599999999,0.1296,0.09331199999999999,0.20155391999999997,0.3567504383999999,0.1296,1.026432,3.9974860799999994,0.7812163583999998,0.5772964783441904,5.15351808,1.8170239637912096
code_n24_k12_cw3_006_q00,code_n24_k12_cw3_006,q00,train,0.18,24,12,12,0.5,0.32000000000000006,3,0.25,6.0,2.8333333333333335,3.0,8.0,3.0,0.0,3.0,3.0,0,0,0,0,1,24,1,0,10,0,55430,exact_all,2,2,1,18,113,12926,exact,2,2,44,470,0.0324,0.0058319999999999995,0.0010497599999999998,0.00018895679999999997,0.0648,0.0058319999999999995,0.018895679999999998,0.021352118399999998,0.0648,0.256608,0.4933871999999999,0.1108797984,0.10515231254506235,0.8147951999999999,0.5959726238846236
code_n24_k12_cw3_006_q01,code_n24_k12_cw3_006,q01,train,0.24,24,12,12,0.5,0.26,3,0.25,6.0,2.8333333333333335,3.0,8.0,3.0,0.0,3.0,3.0,0,0,0,0,1,24,1,0,10,0,55430,exact_all,2,2,1,18,113,12926,exact,2,2,44,470,0.0576,0.013823999999999998,0.0033177599999999995,0.0007962623999999999,0.1152,0.013823999999999998,0.05971967999999999,0.08997765119999998,0.1152,0.6082559999999999,1.5593471999999997,0.2787213312,0.2458606186384414,2.2828031999999996,1.1886976915505731
code_n24_k12_cw3_006_q02,code_n24_k12_cw3_006,q02,train,0.3,24,12,12,0.5,0.19999999999999996,3,0.25,6.0,2.8333333333333335,3.0,8.0,3.0,0.0,3.0,3.0,0,0,0,0,1,24,1,0,10,0,55430,exact_all,2,2,1,18,113,12926,exact,2,2,44,470,0.09,0.026999999999999996,0.0081,0.0024299999999999994,0.18,0.026999999999999996,0.14579999999999999,0.27458999999999995,0.18,1.1879999999999997,3.807,0.6273899999999999,0.48697750449074056,5.175,1.820508882514041
code_n24_k12_cw3_006_q03,code_n24_k12_cw3_006,q03,train,0.36,24,12,12,0.5,0.14,3,0.25,6.0,2.8333333333333335,3.0,8.0,3.0,0.0,3.0,3.0,0,0,0,0,1,24,1,0,10,0,55430,exact_all,2,2,1,18,113,12926,exact,2,2,44,470,0.1296,0.046655999999999996,0.016796159999999997,0.006046617599999999,0.2592,0.046655999999999996,0.30233087999999997,0.6832677887999999,0.2592,2.052864,7.894195199999999,1.2914546687999997,0.8291868424453814,10.206259199999998,2.4164724793414094
code_n24_k12_cw3_007_q00,code_n24_k12_cw3_007,q00,train,0.18,24,12,12,0.5,0.32000000000000006,3,0.25,6.0,8.166666666666666,2.0,10.0,3.0,0.0,3.0,3.0,0,0,1,0,3,24,0,0,8,0,55430,exact_all,3,0,6,34,215,12926,exact,4,0,0,14,0.0324,0.0058319999999999995,0.0010497599999999998,0.00018895679999999997,0.0,0.034991999999999995,0.035691839999999996,0.040625711999999994,0.0,0.0,0.014696639999999997,0.11130955199999999,0.10553909651131645,0.014696639999999997,0.014589690973873798
code_n24_k12_cw3_007_q01,code_n24_k12_cw3_007,q01,train,0.24,24,12,12,0.5,0.26,3,0.25,6.0,8.166666666666666,2.0,10.0,3.0,0.0,3.0,3.0,0,0,1,0,3,24,0,0,8,0,55430,exact_all,3,0,6,34,215,12926,exact,4,0,0,14,0.0576,0.013823999999999998,0.0033177599999999995,0.0007962623999999999,0.0,0.08294399999999999,0.11280383999999999,0.17119641599999996,0.0,0.0,0.04644863999999999,0.3669442559999999,0.31257777856360836,0.04644863999999999,0.04540218382091578
