code_id,stopping_subset_tests,stopping_count_status,min_stopping_order,N_stop_2,N_stop_3,N_stop_4,N_stop_5
code_n32_k16_cw3_059,242792,exact_all,3,0,1,10,41
code_n32_k16_cw3_060,242792,exact_all,3,0,1,12,49
code_n32_k16_cw3_061,242792,exact_all,3,0,2,17,67
code_n32_k16_cw3_062,242792,exact_all,3,0,2,12,55
code_n32_k16_cw3_063,242792,exact_all,3,0,1,6,56
code_n32_k16_cw3_064,242792,exact_all,2,2,1,8,39
code_n32_k16_cw3_065,242792,exact_all,3,0,2,13,76
code_n32_k16_cw3_066,242792,exact_all,4,0,0,6,31
code_n32_k16_cw3_067,242792,exact_all,2,1,2,18,81
code_n32_k16_cw3_068,242792,exact_all,2,1,0,4,39
code_n32_k16_cw3_069,242792,exact_all,2,1,2,7,58
code_n32_k16_cw3_070,242792,exact_all,3,0,1,6,40
code_n32_k16_cw3_071,242792,exact_all,3,0,1,6,29
code_n32_k16_cw3_072,242792,exact_all,2,1,0,7,37
code_n32_k16_cw3_073,242792,exact_all,3,0,1,17,49
code_n32_k16_cw3_074,242792,exact_all,3,0,2,11,39
code_n32_k16_cw3_075,242792,exact_all,3,0,1,11,90
code_n32_k16_cw3_076,242792,exact_all,3,0,2,13,49
code_n32_k16_cw3_077,242792,exact_all,3,0,1,7,52
code_n32_k16_cw3_078,242792,exact_all,2,2,1,11,36
code_n32_k16_cw3_079,242792,exact_all,2,2,1,5,35
