primary_key,split,group_index,match_key,state_count,tail_count,log_tau_min,log_tau_max,log_tau_spread,low_mean_collapse_fraction,high_mean_collapse_fraction,low_minus_high
path_b05,train,254,"('40', '120', '2', '0', '2', '6', 3.0)",26,8,58.623366928025405,60.518896755063466,1.895529827038061,0.076171875,0.0625,0.013671875
path_b05,train,257,"('40', '120', '2', '0', '3', '5', 3.0)",5,1,59.83708904885316,60.82095498366455,0.9838659348113907,0.0625,0.0,0.0625
path_b05,train,258,"('40', '120', '2', '0', '3', '6', 3.0)",10,3,59.13881548424966,60.78207673459688,1.6432612503472157,0.046875,0.020833333333333332,0.026041666666666668
path_b05,train,259,"('40', '120', '2', '0', '3', '7', 3.0)",4,1,58.554596861988664,60.504184076163924,1.94958721417526,0.03125,0.015625,0.015625
path_b05,train,260,"('40', '120', '3', '0', '3', '5', 2.5)",36,12,59.692543040684875,61.40682599438128,1.7142829536964044,0.014322916666666666,0.010416666666666666,0.00390625
path_b05,train,261,"('40', '120', '3', '0', '3', '6', 2.5)",10,3,59.760974683375515,61.05517649931928,1.2942018159437652,0.020833333333333332,0.020833333333333332,0.0
path_b05,train,262,"('40', '120', '3', '0', '3', '6', 3.0)",4,1,59.90097097681711,60.48232331184034,0.5813523350232259,0.015625,0.015625,0.0
path_b05,train,268,"('40', '72', '1', '1', '1', '7', 3.5)",9,3,35.286389787341356,37.61915667383226,2.3327668864909015,0.40625,0.25,0.15625
path_b05,train,269,"('40', '72', '1', '1', '1', '8', 3.5)",16,5,34.80866529957301,37.81606429362058,3.00739899404757,0.36875,0.278125,0.09062500000000001
path_b05,train,274,"('40', '72', '1', '2', '1', '7', 3.5)",9,3,34.50960378262981,37.99851070101525,3.488906918385439,0.4895833333333333,0.3229166666666667,0.16666666666666663
path_b05,train,275,"('40', '72', '1', '2', '1', '8', 3.5)",5,1,34.30393391124159,37.264465326048935,2.960531414807342,0.515625,0.46875,0.046875
path_b05,train,276,"('40', '72', '1', '2', '1', '9', 3.5)",4,1,34.84889737942336,37.078023159653206,2.229125780229843,0.5625,0.3125,0.25
path_b05,train,290,"('40', '72', '2', '0', '2', '7', 3.5)",24,8,36.57521158426224,38.77151856025312,2.196306975990879,0.255859375,0.1484375,0.107421875
path_b05,train,291,"('40', '72', '2', '0', '2', '8', 3.5)",8,2,36.28723418127904,37.47346616213322,1.1862319808541812,0.2734375,0.203125,0.0703125
path_b05,train,295,"('40', '76', '1', '1', '1', '7', 3.5)",8,2,37.751798012925185,39.800226560195995,2.0484285472708095,0.3671875,0.2578125,0.109375
path_b05,train,296,"('40', '76', '1', '1', '1', '8', 3.5)",7,2,38.220113673127145,39.949497281233526,1.7293836081063816,0.3359375,0.28125,0.0546875
path_b05,train,305,"('40', '76', '2', '0', '2', '6', 3.0)",19,6,38.219167078974436,41.43270754550418,3.213540466529743,0.1796875,0.0859375,0.09375
path_b05,train,307,"('40', '76', '2', '0', '2', '7', 3.0)",4,1,39.61885050096308,41.21979896209939,1.600948461136312,0.171875,0.09375,0.078125
path_b05,train,308,"('40', '76', '2', '0', '2', '7', 3.5)",38,12,37.895723881177894,41.22897876811566,3.333254886937766,0.28515625,0.1015625,0.18359375
path_b05,train,309,"('40', '76', '2', '0', '2', '8', 3.5)",8,2,38.13095694676545,39.9489969602572,1.8180400134917463,0.296875,0.1796875,0.1171875
path_b05,train,314,"('40', '80', '2', '0', '2', '6', 3.0)",7,2,40.630215137858706,42.41889540522694,1.7886802673682354,0.171875,0.203125,-0.03125
path_b05,train,315,"('40', '80', '2', '0', '2', '7', 3.0)",8,2,40.37727784573861,42.45804439169159,2.080766545952976,0.21875,0.140625,0.078125
path_b05,train,316,"('40', '80', '2', '0', '2', '7', 3.5)",29,9,40.1588993407844,42.829694096540955,2.6707947557565532,0.2361111111111111,0.1284722222222222,0.1076388888888889
path_b05,train,317,"('40', '80', '2', '0', '2', '8', 3.5)",9,3,40.29042707386841,42.56224381543276,2.2718167415643507,0.19791666666666666,0.171875,0.026041666666666657
path_b05,train,319,"('40', '80', '3', '0', '3', '6', 3.0)",36,12,42.67078340993296,43.99175618227903,1.3209727723460745,0.0546875,0.04296875,0.01171875
path_b05,train,320,"('40', '80', '3', '0', '3', '7', 3.0)",16,5,42.600751757427595,43.77451704171441,1.1737652842868158,0.06875,0.0375,0.03125000000000001
path_b05,validation,1,"('24', '43', '1', '1', '1', '6', 3.0)",4,1,20.682431042344234,21.407814975048947,0.7253839327047125,0.3125,0.25,0.0625
path_b05,validation,9,"('24', '43', '2', '0', '2', '5', 3.0)",5,1,20.506098472600584,21.923081071644837,1.4169825990442533,0.234375,0.0625,0.171875
path_b05,validation,10,"('24', '43', '2', '0', '2', '6', 3.0)",10,3,20.894245704246526,21.958070857232745,1.0638251529862188,0.24479166666666666,0.16666666666666666,0.078125
path_b05,validation,20,"('24', '45', '2', '0', '2', '5', 2.5)",10,3,22.834054979769924,23.71306282891258,0.8790078491426563,0.07291666666666667,0.041666666666666664,0.03125000000000001
path_b05,validation,22,"('24', '45', '2', '0', '2', '6', 2.5)",4,1,22.824866227850052,23.78432423186822,0.9594580040181668,0.15625,0.09375,0.0625
path_b05,validation,23,"('24', '45', '2', '0', '2', '6', 3.0)",7,2,22.099542520770413,23.24670070375733,1.1471581829869173,0.09375,0.0703125,0.0234375
path_b05,validation,25,"('24', '48', '2', '0', '2', '5', 2.5)",5,1,23.849095721169,24.85161032800167,1.0025146068326691,0.171875,0.0625,0.109375
path_b05,validation,28,"('24', '48', '2', '0', '2', '6', 3.0)",8,2,23.587145247328216,24.785095213336554,1.1979499660083377,0.1953125,0.140625,0.0546875
path_b05,validation,30,"('24', '48', '3', '0', '3', '5', 2.5)",15,5,24.926664714007586,25.64158850061752,0.7149237866099334,0.046875,0.040625,0.006249999999999999
path_b05,validation,38,"('24', '64', '2', '0', '2', '5', 2.5)",14,4,31.142051933898248,32.5549249847538,1.4128730508555485,0.0703125,0.05078125,0.01953125
path_b05,validation,50,"('24', '68', '2', '0', '2', '5', 2.5)",6,2,33.180345570814744,34.1280814407146,0.9477358698998586,0.078125,0.046875,0.03125
