graph_family,attack_type,turn,mean_giant_fraction,mean_efficiency_fraction,mean_cumulative_loss,mean_repair_cost_to_target,threshold_crossed_rate,irreversible_rate
er,targeted_degree_attack,75,0.9869791666666666,0.8359245547265878,0.17927037270651713,0.0,0.0,0.0
er,targeted_degree_attack,76,0.9869791666666666,0.833055940525488,0.18270683442726401,0.0,0.0,0.0
er,targeted_degree_attack,77,0.9856770833333334,0.8295293186996244,0.18693938262906273,0.0,0.0,0.0
er,targeted_degree_attack,78,0.9856770833333334,0.8266934596533043,0.19036271553742293,0.0,0.0,0.0
er,targeted_degree_attack,79,0.9830729166666666,0.8212860362280368,0.1969841920143078,0.0,0.0,0.0
er,targeted_degree_attack,80,0.9778645833333334,0.8134522374388157,0.2066164699011718,0.0,0.0,0.0
er,targeted_degree_attack,81,0.9765625,0.8098728836298718,0.2110254946792551,0.0,0.0,0.0
er,targeted_degree_attack,82,0.9765625,0.8073745736203484,0.21411673715142207,0.0,0.0,0.0
er,targeted_degree_attack,83,0.9752604166666666,0.8036605532232377,0.2187734934339156,0.0,0.08333333333333333,0.0
er,targeted_degree_attack,84,0.9739583333333334,0.7997979430992442,0.2235773325446716,0.0,0.08333333333333333,0.0
er,targeted_degree_attack,85,0.9739583333333334,0.7970501952049842,0.22702304211555077,0.0,0.08333333333333333,0.0
er,targeted_degree_attack,86,0.9739583333333334,0.7948114059624222,0.22984551668967756,0.0,0.16666666666666666,0.0
er,targeted_degree_attack,87,0.9739583333333334,0.7922429784940052,0.23309437099772176,0.0,0.16666666666666666,0.0
er,targeted_degree_attack,88,0.9739583333333334,0.7893739207336128,0.23672900039528902,0.0,0.25,0.0
er,targeted_degree_attack,89,0.9713541666666666,0.7839171598784594,0.24360993541425544,0.0,0.4166666666666667,0.0
er,targeted_degree_attack,90,0.9713541666666666,0.7814919089088724,0.2467197634722599,0.0,0.4166666666666667,0.0
er,targeted_degree_attack,91,0.9700520833333334,0.777891260304829,0.25134596029347583,0.0,0.5,0.0
er,targeted_degree_attack,92,0.9700520833333334,0.7754922409467087,0.2544357073358005,0.0,0.5833333333333334,0.0
er,targeted_degree_attack,93,0.9700520833333334,0.7726350492950281,0.2581363176285602,0.0,0.5833333333333334,0.0
er,targeted_degree_attack,94,0.9700520833333334,0.7695583337290298,0.26212651166227935,0.0,0.75,0.0
er,targeted_degree_attack,95,0.96875,0.7654177448041778,0.26755088820333356,0.0,0.75,0.0
er,targeted_degree_attack,96,0.96875,0.7627545014737577,0.2710371758052004,0.0,0.75,0.0
scale_free,random_failure,0,1.0,1.0,0.0,0.0,0.0,0.0
scale_free,random_failure,1,1.0,0.9986045939129456,0.001396593652876847,0.0,0.0,0.0
scale_free,random_failure,2,1.0,0.9974427521729127,0.0025607538372880586,0.0,0.0,0.0
scale_free,random_failure,3,1.0,0.996198294061425,0.0038091664684632193,0.0,0.0,0.0
scale_free,random_failure,4,1.0,0.9946863294613255,0.005328151631079578,0.0,0.0,0.0
scale_free,random_failure,5,1.0,0.9931277061424767,0.0068963325238722666,0.0,0.0,0.0
scale_free,random_failure,6,1.0,0.991610686320595,0.008425041741443056,0.0,0.0,0.0
scale_free,random_failure,7,1.0,0.9902040259347915,0.009844595342903105,0.0,0.0,0.0
scale_free,random_failure,8,1.0,0.9889394028711903,0.011122597096761866,0.0,0.0,0.0
scale_free,random_failure,9,1.0,0.9875496075777024,0.012529028656677538,0.0,0.0,0.0
scale_free,random_failure,10,1.0,0.9860888839551092,0.014009077241766527,0.0,0.0,0.0
scale_free,random_failure,11,1.0,0.984571820382503,0.01554882259776823,0.0,0.0,0.0
scale_free,random_failure,12,1.0,0.9830057352674869,0.017140974544111672,0.0,0.0,0.0
scale_free,random_failure,13,1.0,0.9812887337258572,0.018889552778929928,0.0,0.0,0.0
