row_id,code_id,q_id,split,q,n,k,r,rate,capacity_margin,column_weight,parity_check_density,row_weight_mean,row_weight_variance,row_weight_min,row_weight_max,column_weight_mean,column_weight_variance,column_weight_min,column_weight_max,N_dep_2,N_dep_3,N_dep_4,dependency_subset_tests,dependency_count_status,min_dependency_order,q_power_2,q_power_3,q_power_4,N_dep_2_q2,N_dep_3_q3,N_dep_4_q4,H_dep_4,log1p_H_dep_4
code_n24_k12_cw3_011_q03,code_n24_k12_cw3_011,q03,train,0.36,24,12,12,0.5,0.14,3,0.25,6.0,4.5,3.0,11.0,3.0,0.0,3.0,3.0,0,0,8,12926,exact,4,0.1296,0.046655999999999996,0.016796159999999997,0.0,0.0,0.13436927999999998,0.13436927999999998,0.12607679603412303
code_n24_k12_cw3_012_q00,code_n24_k12_cw3_012,q00,test,0.18,24,12,12,0.5,0.32000000000000006,3,0.25,6.0,5.5,2.0,11.0,3.0,0.0,3.0,3.0,3,66,699,12926,exact,2,0.0324,0.0058319999999999995,0.0010497599999999998,0.0972,0.384912,0.7337822399999999,1.21589424,0.7956560421143641
code_n24_k12_cw3_012_q01,code_n24_k12_cw3_012,q01,test,0.24,24,12,12,0.5,0.26,3,0.25,6.0,5.5,2.0,11.0,3.0,0.0,3.0,3.0,3,66,699,12926,exact,2,0.0576,0.013823999999999998,0.0033177599999999995,0.1728,0.9123839999999999,2.3191142399999998,3.4042982399999997,1.4825809368218348
code_n24_k12_cw3_012_q02,code_n24_k12_cw3_012,q02,test,0.3,24,12,12,0.5,0.19999999999999996,3,0.25,6.0,5.5,2.0,11.0,3.0,0.0,3.0,3.0,3,66,699,12926,exact,2,0.09,0.026999999999999996,0.0081,0.27,1.7819999999999998,5.661899999999999,7.713899999999999,2.1649194518433115
code_n24_k12_cw3_012_q03,code_n24_k12_cw3_012,q03,test,0.36,24,12,12,0.5,0.14,3,0.25,6.0,5.5,2.0,11.0,3.0,0.0,3.0,3.0,3,66,699,12926,exact,2,0.1296,0.046655999999999996,0.016796159999999997,0.3888,3.079296,11.740515839999999,15.208611839999998,2.785542696053467
code_n24_k12_cw3_013_q00,code_n24_k12_cw3_013,q00,train,0.18,24,12,12,0.5,0.32000000000000006,3,0.25,6.0,5.5,2.0,10.0,3.0,0.0,3.0,3.0,3,66,696,12926,exact,2,0.0324,0.0058319999999999995,0.0010497599999999998,0.0972,0.384912,0.7306329599999999,1.2127449599999998,0.7942338081555217
code_n24_k12_cw3_013_q01,code_n24_k12_cw3_013,q01,train,0.24,24,12,12,0.5,0.26,3,0.25,6.0,5.5,2.0,10.0,3.0,0.0,3.0,3.0,3,66,696,12926,exact,2,0.0576,0.013823999999999998,0.0033177599999999995,0.1728,0.9123839999999999,2.30916096,3.3943449599999997,1.480318477935976
code_n24_k12_cw3_013_q02,code_n24_k12_cw3_013,q02,train,0.3,24,12,12,0.5,0.19999999999999996,3,0.25,6.0,5.5,2.0,10.0,3.0,0.0,3.0,3.0,3,66,696,12926,exact,2,0.09,0.026999999999999996,0.0081,0.27,1.7819999999999998,5.6376,7.6895999999999995,2.162126908298444
code_n24_k12_cw3_013_q03,code_n24_k12_cw3_013,q03,train,0.36,24,12,12,0.5,0.14,3,0.25,6.0,5.5,2.0,10.0,3.0,0.0,3.0,3.0,3,66,696,12926,exact,2,0.1296,0.046655999999999996,0.016796159999999997,0.3888,3.079296,11.690127359999998,15.158223359999997,2.7824291064549795
code_n24_k12_cw3_014_q00,code_n24_k12_cw3_014,q00,test,0.18,24,12,12,0.5,0.32000000000000006,3,0.25,6.0,6.0,2.0,9.0,3.0,0.0,3.0,3.0,5,108,1118,12926,exact,2,0.0324,0.0058319999999999995,0.0010497599999999998,0.16199999999999998,0.629856,1.1736316799999997,1.9654876799999996,1.087041497845256
