row_id,code_id,q_id,split,q,K,z,failure_fraction,rank_z,rank_failure_fraction,mean_residual_size,mean_ambiguity_dim
code_n24_k12_cw3_019_q02,code_n24_k12_cw3_019,q02,train,0.3,128,42,0.328125,15,0.1171875,2.0625,0.140625
code_n24_k12_cw3_019_q03,code_n24_k12_cw3_019,q03,train,0.36,128,68,0.53125,32,0.25,4.3671875,0.3515625
code_n24_k12_cw3_020_q00,code_n24_k12_cw3_020,q00,test,0.18,128,16,0.125,14,0.109375,0.3828125,0.109375
code_n24_k12_cw3_020_q01,code_n24_k12_cw3_020,q01,test,0.24,128,18,0.140625,12,0.09375,0.6875,0.1015625
code_n24_k12_cw3_020_q02,code_n24_k12_cw3_020,q02,test,0.3,128,46,0.359375,34,0.265625,2.09375,0.328125
code_n24_k12_cw3_020_q03,code_n24_k12_cw3_020,q03,test,0.36,128,73,0.5703125,48,0.375,3.5703125,0.453125
code_n24_k12_cw3_021_q00,code_n24_k12_cw3_021,q00,train,0.18,128,15,0.1171875,13,0.1015625,0.3359375,0.1015625
code_n24_k12_cw3_021_q01,code_n24_k12_cw3_021,q01,train,0.24,128,33,0.2578125,23,0.1796875,1.1796875,0.203125
code_n24_k12_cw3_021_q02,code_n24_k12_cw3_021,q02,train,0.3,128,44,0.34375,21,0.1640625,2.1328125,0.2265625
code_n24_k12_cw3_021_q03,code_n24_k12_cw3_021,q03,train,0.36,128,49,0.3828125,33,0.2578125,2.328125,0.3203125
code_n24_k12_cw3_022_q00,code_n24_k12_cw3_022,q00,validation,0.18,128,16,0.125,11,0.0859375,0.4296875,0.0859375
code_n24_k12_cw3_022_q01,code_n24_k12_cw3_022,q01,validation,0.24,128,23,0.1796875,12,0.09375,0.8359375,0.09375
code_n24_k12_cw3_022_q02,code_n24_k12_cw3_022,q02,validation,0.3,128,39,0.3046875,19,0.1484375,1.8515625,0.171875
code_n24_k12_cw3_022_q03,code_n24_k12_cw3_022,q03,validation,0.36,128,63,0.4921875,37,0.2890625,3.5,0.390625
code_n24_k12_cw3_023_q00,code_n24_k12_cw3_023,q00,train,0.18,128,16,0.125,14,0.109375,0.34375,0.109375
code_n24_k12_cw3_023_q01,code_n24_k12_cw3_023,q01,train,0.24,128,36,0.28125,27,0.2109375,1.171875,0.25
code_n24_k12_cw3_023_q02,code_n24_k12_cw3_023,q02,train,0.3,128,53,0.4140625,41,0.3203125,2.015625,0.359375
code_n24_k12_cw3_023_q03,code_n24_k12_cw3_023,q03,train,0.36,128,81,0.6328125,63,0.4921875,4.40625,0.6171875
code_n24_k12_cw3_024_q00,code_n24_k12_cw3_024,q00,train,0.18,128,15,0.1171875,11,0.0859375,0.2890625,0.0859375
code_n24_k12_cw3_024_q01,code_n24_k12_cw3_024,q01,train,0.24,128,34,0.265625,23,0.1796875,1.203125,0.203125
code_n24_k12_cw3_024_q02,code_n24_k12_cw3_024,q02,train,0.3,128,41,0.3203125,31,0.2421875,1.765625,0.2890625
code_n24_k12_cw3_024_q03,code_n24_k12_cw3_024,q03,train,0.36,128,72,0.5625,52,0.40625,3.53125,0.5078125
code_n24_k12_cw3_025_q00,code_n24_k12_cw3_025,q00,test,0.18,128,6,0.046875,3,0.0234375,0.234375,0.0234375
code_n24_k12_cw3_025_q01,code_n24_k12_cw3_025,q01,test,0.24,128,12,0.09375,3,0.0234375,0.7265625,0.0234375
code_n24_k12_cw3_025_q02,code_n24_k12_cw3_025,q02,test,0.3,128,40,0.3125,12,0.09375,2.34375,0.15625
code_n24_k12_cw3_025_q03,code_n24_k12_cw3_025,q03,test,0.36,128,58,0.453125,22,0.171875,3.7734375,0.2109375
code_n24_k12_cw3_026_q00,code_n24_k12_cw3_026,q00,train,0.18,128,11,0.0859375,7,0.0546875,0.3359375,0.0546875
code_n24_k12_cw3_026_q01,code_n24_k12_cw3_026,q01,train,0.24,128,26,0.203125,17,0.1328125,0.890625,0.1640625
code_n24_k12_cw3_026_q02,code_n24_k12_cw3_026,q02,train,0.3,128,54,0.421875,30,0.234375,2.265625,0.2578125
code_n24_k12_cw3_026_q03,code_n24_k12_cw3_026,q03,train,0.36,128,81,0.6328125,54,0.421875,4.171875,0.5234375
code_n24_k12_cw3_027_q00,code_n24_k12_cw3_027,q00,train,0.18,128,14,0.109375,10,0.078125,0.3359375,0.0859375
code_n24_k12_cw3_027_q01,code_n24_k12_cw3_027,q01,train,0.24,128,34,0.265625,26,0.203125,1.2421875,0.2421875
