row_id,code_id,q_id,split,q,n,k,r,rate,capacity_margin,column_weight,parity_check_density,check_degree_mean,check_degree_variance,check_degree_min,check_degree_max,variable_degree_mean,variable_degree_variance,variable_degree_min,variable_degree_max,check_degree_count_1,variable_degree_count_1,check_degree_count_2,variable_degree_count_2,check_degree_count_3,variable_degree_count_3,check_degree_count_4,variable_degree_count_4,check_degree_count_ge5,variable_degree_count_ge5,stopping_subset_tests,stopping_count_status,min_stopping_order,N_stop_2,N_stop_3,N_stop_4,N_stop_5,dependency_subset_tests,dependency_count_status,min_dependency_order,N_dep_2,N_dep_3,N_dep_4,q_power_2,q_power_3,q_power_4,q_power_5,N_stop_2_q2,N_stop_3_q3,N_stop_4_q4,N_stop_5_q5,N_stop_2_norm_q2,N_stop_3_norm_q3,N_stop_4_norm_q4,N_stop_5_norm_q5,N_dep_2_q2,N_dep_3_q3,N_dep_4_q4,H_stop_5,log1p_H_stop_5,H_stop_5_norm,log1p_H_stop_5_norm,H_dep_4,log1p_H_dep_4
code_n24_k12_cw3_006_q01,code_n24_k12_cw3_006,q01,test,0.24,24,12,12,0.5,0.26,3,0.25,6.0,5.5,1.0,10.0,3.0,0.0,3.0,3.0,1,0,0,0,0,24,1,0,10,0,55430,exact_all,2,2,4,21,94,12926,exact,2,2,44,473,0.0576,0.013823999999999998,0.0033177599999999995,0.0007962623999999999,0.1152,0.05529599999999999,0.06967295999999999,0.07484866559999999,0.0004173913043478261,2.7320158102766792e-05,6.55683794466403e-06,1.7609793337097683e-06,0.1152,0.6082559999999999,1.5693004799999997,0.31501762559999996,0.27385006903800063,0.0004530292797289667,0.0004529266929468621,2.2927564799999995,1.1917250498549943
code_n24_k12_cw3_006_q02,code_n24_k12_cw3_006,q02,test,0.3,24,12,12,0.5,0.19999999999999996,3,0.25,6.0,5.5,1.0,10.0,3.0,0.0,3.0,3.0,1,0,0,0,0,24,1,0,10,0,55430,exact_all,2,2,4,21,94,12926,exact,2,2,44,473,0.09,0.026999999999999996,0.0081,0.0024299999999999994,0.18,0.10799999999999998,0.1701,0.22841999999999996,0.0006521739130434782,5.335968379446639e-05,1.6007905138339918e-05,5.37408243929983e-06,0.18,1.1879999999999997,3.8312999999999997,0.6865199999999999,0.5226672343285877,0.0007269155844155842,0.0007266515092479718,5.199299999999999,1.8244363824511902
code_n24_k12_cw3_006_q03,code_n24_k12_cw3_006,q03,test,0.36,24,12,12,0.5,0.14,3,0.25,6.0,5.5,1.0,10.0,3.0,0.0,3.0,3.0,1,0,0,0,0,24,1,0,10,0,55430,exact_all,2,2,4,21,94,12926,exact,2,2,44,473,0.1296,0.046655999999999996,0.016796159999999997,0.006046617599999999,0.2592,0.18662399999999998,0.3527193599999999,0.5683820543999999,0.0009391304347826086,9.220553359683793e-05,3.319399209486165e-05,1.3372436815358553e-05,0.2592,2.052864,7.944583679999999,1.3669254143999998,0.861591819431237,0.0010779023972896668,0.0010773218776255337,10.256647679999999,2.4209588590237687
code_n24_k12_cw3_007_q00,code_n24_k12_cw3_007,q00,train,0.18,24,12,12,0.5,0.32000000000000006,3,0.25,6.0,10.166666666666666,1.0,11.0,3.0,0.0,3.0,3.0,2,0,0,0,1,24,0,0,9,0,55430,exact_all,3,0,9,44,225,12926,exact,4,0,0,14,0.0324,0.0058319999999999995,0.0010497599999999998,0.00018895679999999997,0.0,0.05248799999999999,0.04618943999999999,0.042515279999999996,0.0,2.5932806324110672e-05,4.3468322981366456e-06,1.000265386787126e-06,0.0,0.0,0.014696639999999997,0.14119271999999997,0.13207396108694797,3.127990400903444e-05,3.127941480303855e-05,0.014696639999999997,0.014589690973873798
code_n24_k12_cw3_007_q01,code_n24_k12_cw3_007,q01,train,0.24,24,12,12,0.5,0.26,3,0.25,6.0,10.166666666666666,1.0,11.0,3.0,0.0,3.0,3.0,2,0,0,0,1,24,0,0,9,0,55430,exact_all,3,0,9,44,225,12926,exact,4,0,0,14,0.0576,0.013823999999999998,0.0033177599999999995,0.0007962623999999999,0.0,0.12441599999999998,0.14598143999999996,0.17915903999999996,0.0,6.147035573122529e-05,1.3738136645962731e-05,4.2151101072840195e-06,0.0,0.0,0.04644863999999999,0.4495564799999999,0.3712576337808511,7.942360248447204e-05,7.942044859715052e-05,0.04644863999999999,0.04540218382091578
code_n24_k12_cw3_007_q02,code_n24_k12_cw3_007,q02,train,0.3,24,12,12,0.5,0.19999999999999996,3,0.25,6.0,10.166666666666666,1.0,11.0,3.0,0.0,3.0,3.0,2,0,0,0,1,24,0,0,9,0,55430,exact_all,3,0,9,44,225,12926,exact,4,0,0,14,0.09,0.026999999999999996,0.0081,0.0024299999999999994,0.0,0.24299999999999997,0.3564,0.5467499999999998,0.0,0.0001200592885375494,3.3540372670807456e-05,1.286349520045172e-05,0.0,0.0,0.1134,1.1461499999999998,0.763675539249482,0.0001664631564088086,0.00016644930295495959,0.1134,0.10741839676727034
code_n24_k12_cw3_007_q03,code_n24_k12_cw3_007,q03,train,0.36,24,12,12,0.5,0.14,3,0.25,6.0,10.166666666666666,1.0,11.0,3.0,0.0,3.0,3.0,2,0,0,0,1,24,0,0,9,0,55430,exact_all,3,0,9,44,225,12926,exact,4,0,0,14,0.1296,0.046655999999999996,0.016796159999999997,0.006046617599999999,0.0,0.41990399999999994,0.7390310399999999,1.3604889599999999,0.0,0.00020746245059288538,6.954931677018633e-05,3.200849237718803e-05,0.0,0.0,0.23514623999999995,2.519424,1.2582973398564787,0.00030902025974025976,0.00030897252281399313,0.23514623999999995,0.21118937602514545
code_n24_k12_cw3_008_q00,code_n24_k12_cw3_008,q00,train,0.18,24,12,12,0.5,0.32000000000000006,3,0.25,6.0,5.166666666666667,3.0,11.0,3.0,0.0,3.0,3.0,0,0,0,0,1,24,3,0,8,0,55430,exact_all,2,1,2,19,111,12926,exact,2,1,22,243,0.0324,0.0058319999999999995,0.0010497599999999998,0.00018895679999999997,0.0324,0.011663999999999999,0.01994544,0.020974204799999997,0.00011739130434782608,5.7628458498023705e-06,1.877041219649915e-06,4.934642574816487e-07,0.0324,0.128304,0.25509168,0.0849836448,0.08156491296175955,0.00012552465567476,0.00012551677811438068,0.41579568,0.3476916910748675
code_n24_k12_cw3_008_q01,code_n24_k12_cw3_008,q01,train,0.24,24,12,12,0.5,0.26,3,0.25,6.0,5.166666666666667,3.0,11.0,3.0,0.0,3.0,3.0,0,0,0,0,1,24,3,0,8,0,55430,exact_all,2,1,2,19,111,12926,exact,2,1,22,243,0.0576,0.013823999999999998,0.0033177599999999995,0.0007962623999999999,0.0576,0.027647999999999995,0.06303743999999999,0.08838512639999999,0.00020869565217391305,1.3660079051383396e-05,5.932377188029361e-06,2.0794543195934497e-06,0.0576,0.30412799999999995,0.8062156799999999,0.23667056639999998,0.2124227413694426,0.00023036756273291925,0.00023034103220037736,1.1679436799999998,0.7737791053801907
code_n24_k12_cw3_008_q02,code_n24_k12_cw3_008,q02,train,0.3,24,12,12,0.5,0.19999999999999996,3,0.25,6.0,5.166666666666667,3.0,11.0,3.0,0.0,3.0,3.0,0,0,0,0,1,24,3,0,8,0,55430,exact_all,2,1,2,19,111,12926,exact,2,1,22,243,0.09,0.026999999999999996,0.0081,0.0024299999999999994,0.09,0.05399999999999999,0.15389999999999998,0.2697299999999999,0.0003260869565217391,2.6679841897233196e-05,1.4483342744212308e-05,6.345990965556181e-06,0.09,0.5939999999999999,1.9683,0.5676299999999999,0.44956492469530446,0.0003735961321287408,0.00037352636247034546,2.6523,1.2953571061277547
