row_id,graph_id,q_id,split,sample_index,sample_seed,failed_edge_indices,disconnected
g_n12_m24_k2_001_q01,g_n12_m24_k2_001,q01,train,10,32880289,"[7, 8, 10, 16, 19, 22, 23]",0
g_n12_m24_k2_001_q01,g_n12_m24_k2_001,q01,train,11,33880292,"[5, 8, 9, 10, 15, 18, 21]",0
g_n12_m24_k2_001_q01,g_n12_m24_k2_001,q01,train,12,34880295,"[2, 3, 6, 12, 14, 15]",0
g_n12_m24_k2_001_q01,g_n12_m24_k2_001,q01,train,13,35880298,"[3, 4, 10, 11, 13, 14, 19, 20]",0
g_n12_m24_k2_001_q01,g_n12_m24_k2_001,q01,train,14,36880301,"[0, 9, 12]",0
g_n12_m24_k2_001_q01,g_n12_m24_k2_001,q01,train,15,37880304,[7],0
g_n12_m24_k2_001_q01,g_n12_m24_k2_001,q01,train,16,38880307,"[0, 1, 2, 3, 12, 15, 16, 17, 19, 20, 21, 22]",1
g_n12_m24_k2_001_q01,g_n12_m24_k2_001,q01,train,17,39880310,"[6, 7, 8, 12, 17, 18, 21, 23]",0
g_n12_m24_k2_001_q01,g_n12_m24_k2_001,q01,train,18,40880313,"[2, 8, 11, 16, 22]",0
g_n12_m24_k2_001_q01,g_n12_m24_k2_001,q01,train,19,41880316,"[2, 6, 7, 13, 14, 19]",0
g_n12_m24_k2_001_q01,g_n12_m24_k2_001,q01,train,20,42880319,"[1, 2, 6, 7, 12, 15, 16]",0
g_n12_m24_k2_001_q01,g_n12_m24_k2_001,q01,train,21,43880322,"[2, 3, 6, 8, 10, 14, 17, 18, 20, 22]",0
g_n12_m24_k2_001_q01,g_n12_m24_k2_001,q01,train,22,44880325,"[5, 7, 8, 13, 16, 17]",0
g_n12_m24_k2_001_q01,g_n12_m24_k2_001,q01,train,23,45880328,"[0, 3, 4, 16, 20, 21, 22]",0
g_n12_m24_k2_001_q01,g_n12_m24_k2_001,q01,train,24,46880331,"[1, 2, 4, 7, 8, 11, 12, 17, 20, 22, 23]",0
g_n12_m24_k2_001_q01,g_n12_m24_k2_001,q01,train,25,47880334,"[0, 5, 12, 16]",0
g_n12_m24_k2_001_q01,g_n12_m24_k2_001,q01,train,26,48880337,"[4, 8, 10, 13, 16, 17]",0
g_n12_m24_k2_001_q01,g_n12_m24_k2_001,q01,train,27,49880340,"[1, 3, 4, 8, 9, 15]",0
g_n12_m24_k2_001_q01,g_n12_m24_k2_001,q01,train,28,50880343,"[3, 6, 9, 12, 13, 14, 21, 22, 23]",1
g_n12_m24_k2_001_q01,g_n12_m24_k2_001,q01,train,29,51880346,"[6, 17, 22]",0
g_n12_m24_k2_001_q01,g_n12_m24_k2_001,q01,train,30,52880349,[22],0
g_n12_m24_k2_001_q01,g_n12_m24_k2_001,q01,train,31,53880352,"[2, 3, 5, 8, 9, 10, 19]",0
g_n12_m24_k2_001_q02,g_n12_m24_k2_001,q02,train,0,3596467596,"[1, 2, 3, 4, 8, 9, 12, 17, 19, 23]",0
g_n12_m24_k2_001_q02,g_n12_m24_k2_001,q02,train,1,3597467599,"[1, 4, 6, 9, 11, 12, 14, 15, 16, 20, 21, 23]",0
g_n12_m24_k2_001_q02,g_n12_m24_k2_001,q02,train,2,3598467602,"[0, 1, 3, 4, 6, 14, 15, 17, 23]",1
g_n12_m24_k2_001_q02,g_n12_m24_k2_001,q02,train,3,3599467605,"[1, 6, 7, 10, 12, 14, 15, 21]",1
g_n12_m24_k2_001_q02,g_n12_m24_k2_001,q02,train,4,3600467608,"[0, 7, 9, 11, 16, 21]",0
g_n12_m24_k2_001_q02,g_n12_m24_k2_001,q02,train,5,3601467611,"[1, 3, 4, 5, 6, 7, 11, 13, 17, 18, 19, 22]",1
g_n12_m24_k2_001_q02,g_n12_m24_k2_001,q02,train,6,3602467614,"[1, 3, 6, 8, 9, 14, 15, 16, 17, 18, 23]",0
g_n12_m24_k2_001_q02,g_n12_m24_k2_001,q02,train,7,3603467617,"[0, 7, 9, 18, 19]",0
g_n12_m24_k2_001_q02,g_n12_m24_k2_001,q02,train,8,3604467620,"[0, 2, 5, 6, 9, 11, 12, 14, 19, 22]",0
g_n12_m24_k2_001_q02,g_n12_m24_k2_001,q02,train,9,3605467623,"[0, 5, 8, 9, 12, 14, 20]",0
