key_name,split,group_index,match_key,state_count,tail_count,log_tau_min,log_tau_max,log_tau_spread,low_mean_collapse_fraction,high_mean_collapse_fraction,low_minus_high
strict,all,119,"('32', '86', '3', '0', '3', '5')",12,4,43.721998190267506,44.75625836876225,1.0342601784947476,0.01953125,0.0078125,0.01171875
strict,all,123,"('32', '91', '2', '0', '2', '5')",14,4,44.618519643863884,45.957809604454084,1.3392899605902002,0.0625,0.03515625,0.02734375
strict,all,124,"('32', '91', '2', '0', '2', '6')",9,3,44.50852912108372,46.1371845037321,1.6286553826483825,0.09895833333333333,0.041666666666666664,0.057291666666666664
strict,all,126,"('32', '91', '2', '0', '3', '5')",10,3,44.661790967999195,46.43539650111303,1.7736055331138374,0.052083333333333336,0.046875,0.005208333333333336
strict,all,129,"('32', '91', '3', '0', '3', '5')",15,5,45.50827582670798,46.77231707514463,1.264041248436648,0.025,0.015625,0.009375000000000001
strict,all,131,"('32', '96', '2', '0', '2', '5')",12,4,46.518002171958976,47.4113257555609,0.8933235836019264,0.06640625,0.04296875,0.0234375
strict,all,132,"('32', '96', '2', '0', '2', '6')",4,1,46.61503015539273,47.41175407270348,0.7967239173107501,0.078125,0.0625,0.015625
strict,all,133,"('32', '96', '2', '0', '3', '5')",7,2,46.69710104157328,48.17626726219291,1.479166220619625,0.0546875,0.0234375,0.03125
strict,all,138,"('32', '96', '3', '0', '3', '5')",25,8,47.27597990830816,48.643232290060254,1.3672523817520954,0.03515625,0.015625,0.01953125
strict,all,142,"('40', '108', '1', '1', '1', '6')",5,1,52.955168394601934,55.17854208054185,2.2233736859399187,0.3125,0.203125,0.109375
strict,all,143,"('40', '108', '1', '1', '1', '7')",4,1,53.71855632562625,55.19614414278825,1.4775878171619965,0.3125,0.25,0.0625
strict,all,149,"('40', '108', '2', '0', '2', '5')",6,2,54.46578417180129,56.13068363848049,1.664899466679202,0.09375,0.0625,0.03125
strict,all,150,"('40', '108', '2', '0', '2', '6')",15,5,54.33932101048479,56.10600385858236,1.7666828480975738,0.084375,0.053125,0.03125000000000001
strict,all,151,"('40', '108', '2', '0', '2', '7')",7,2,53.96376919185439,55.64668140910992,1.6829122172555273,0.125,0.1328125,-0.0078125
strict,all,153,"('40', '108', '2', '0', '3', '6')",4,1,55.695063627174335,56.20919557648208,0.5141319493077461,0.046875,0.078125,-0.03125
strict,all,154,"('40', '108', '3', '0', '3', '5')",4,1,55.56362548873679,56.775842693904394,1.2122172051676046,0.03125,0.046875,-0.015625
strict,all,155,"('40', '108', '3', '0', '3', '6')",4,1,55.50563726754541,56.545390723150156,1.039753455604746,0.0,0.015625,-0.015625
strict,all,157,"('40', '114', '1', '1', '1', '6')",5,1,55.8917471924281,57.5867339860587,1.6949867936305978,0.25,0.125,0.125
strict,all,160,"('40', '114', '2', '0', '2', '5')",6,2,57.417483861403575,58.39811247349942,0.9806286120958418,0.09375,0.03125,0.0625
strict,all,161,"('40', '114', '2', '0', '2', '6')",15,5,56.21060171497593,58.29378168381011,2.0831799688341803,0.109375,0.040625,0.06875
strict,all,164,"('40', '114', '2', '0', '3', '6')",7,2,57.493881932070856,58.51955589174672,1.0256739596758635,0.03125,0.03125,0.0
strict,all,167,"('40', '114', '3', '0', '3', '5')",4,1,58.57722542125084,59.212510645184615,0.6352852239337778,0.015625,0.015625,0.0
strict,all,168,"('40', '114', '3', '0', '3', '6')",10,3,57.53217783403283,58.883180620524236,1.3510027864914065,0.03125,0.026041666666666668,0.005208333333333332
strict,all,170,"('40', '120', '2', '0', '2', '6')",10,3,58.76574396967564,59.849685765294595,1.083941795618955,0.11458333333333333,0.078125,0.03645833333333333
strict,all,172,"('40', '120', '2', '0', '3', '5')",4,1,59.879808093397045,60.83652006783069,0.9567119744336452,0.046875,0.0625,-0.015625
