row_id,code_id,q_id,split,q,n,k,r,rate,capacity_margin,column_weight,parity_check_density,check_degree_mean,check_degree_variance,check_degree_min,check_degree_max,variable_degree_mean,variable_degree_variance,variable_degree_min,variable_degree_max,check_degree_count_1,variable_degree_count_1,check_degree_count_2,variable_degree_count_2,check_degree_count_3,variable_degree_count_3,check_degree_count_4,variable_degree_count_4,check_degree_count_ge5,variable_degree_count_ge5,stopping_subset_tests,stopping_count_status,min_stopping_order,N_stop_2,N_stop_3,N_stop_4,N_stop_5,dependency_subset_tests,dependency_count_status,min_dependency_order,N_dep_2,N_dep_3,N_dep_4,q_power_2,q_power_3,q_power_4,q_power_5,N_stop_2_q2,N_stop_3_q3,N_stop_4_q4,N_stop_5_q5,N_dep_2_q2,N_dep_3_q3,N_dep_4_q4,H_stop_5,log1p_H_stop_5,H_dep_4,log1p_H_dep_4
code_n24_k12_cw3_021_q03,code_n24_k12_cw3_021,q03,validation,0.36,24,12,12,0.5,0.14,3,0.25,6.0,4.333333333333333,4.0,11.0,3.0,0.0,3.0,3.0,0,0,0,0,0,24,4,0,8,0,55430,exact_all,3,0,3,14,92,12926,exact,4,0,0,6,0.1296,0.046655999999999996,0.016796159999999997,0.006046617599999999,0.0,0.13996799999999998,0.23514623999999995,0.5562888192,0.0,0.0,0.10077695999999998,0.9314030591999999,0.6582467124781823,0.10077695999999998,0.09601625774534364
code_n24_k12_cw3_022_q00,code_n24_k12_cw3_022,q00,validation,0.18,24,12,12,0.5,0.32000000000000006,3,0.25,6.0,8.5,3.0,12.0,3.0,0.0,3.0,3.0,0,0,0,0,2,24,3,0,7,0,55430,exact_all,2,3,12,31,119,12926,exact,2,3,66,690,0.0324,0.0058319999999999995,0.0010497599999999998,0.00018895679999999997,0.0972,0.06998399999999999,0.03254256,0.022485859199999996,0.0972,0.384912,0.7243343999999999,0.22221241919999998,0.20066267477544006,1.2064464,0.7913832575674682
code_n24_k12_cw3_022_q01,code_n24_k12_cw3_022,q01,validation,0.24,24,12,12,0.5,0.26,3,0.25,6.0,8.5,3.0,12.0,3.0,0.0,3.0,3.0,0,0,0,0,2,24,3,0,7,0,55430,exact_all,2,3,12,31,119,12926,exact,2,3,66,690,0.0576,0.013823999999999998,0.0033177599999999995,0.0007962623999999999,0.1728,0.16588799999999998,0.10285055999999998,0.09475522559999998,0.1728,0.9123839999999999,2.2892543999999995,0.5362937856,0.4293728831030102,3.3744383999999994,1.4757781458557084
code_n24_k12_cw3_022_q02,code_n24_k12_cw3_022,q02,validation,0.3,24,12,12,0.5,0.19999999999999996,3,0.25,6.0,8.5,3.0,12.0,3.0,0.0,3.0,3.0,0,0,0,0,2,24,3,0,7,0,55430,exact_all,2,3,12,31,119,12926,exact,2,3,66,690,0.09,0.026999999999999996,0.0081,0.0024299999999999994,0.27,0.32399999999999995,0.2511,0.2891699999999999,0.27,1.7819999999999998,5.5889999999999995,1.13427,0.7581246678377812,7.640999999999999,2.156518316859262
code_n24_k12_cw3_022_q03,code_n24_k12_cw3_022,q03,validation,0.36,24,12,12,0.5,0.14,3,0.25,6.0,8.5,3.0,12.0,3.0,0.0,3.0,3.0,0,0,0,0,2,24,3,0,7,0,55430,exact_all,2,3,12,31,119,12926,exact,2,3,66,690,0.1296,0.046655999999999996,0.016796159999999997,0.006046617599999999,0.3888,0.5598719999999999,0.52068096,0.7195474943999999,0.3888,3.079296,11.589350399999999,2.1889004543999997,1.1596761722381101,15.057446399999998,2.7761726921401912
code_n24_k12_cw3_023_q00,code_n24_k12_cw3_023,q00,validation,0.18,24,12,12,0.5,0.32000000000000006,3,0.25,6.0,6.666666666666667,2.0,11.0,3.0,0.0,3.0,3.0,0,0,1,0,1,24,2,0,8,0,55430,exact_all,2,2,2,40,107,12926,exact,2,2,44,479,0.0324,0.0058319999999999995,0.0010497599999999998,0.00018895679999999997,0.0648,0.011663999999999999,0.0419904,0.020218377599999997,0.0648,0.256608,0.5028350399999999,0.1386727776,0.12986335398854348,0.8242430399999999,0.6011651283897663
code_n24_k12_cw3_023_q01,code_n24_k12_cw3_023,q01,validation,0.24,24,12,12,0.5,0.26,3,0.25,6.0,6.666666666666667,2.0,11.0,3.0,0.0,3.0,3.0,0,0,1,0,1,24,2,0,8,0,55430,exact_all,2,2,2,40,107,12926,exact,2,2,44,479,0.0576,0.013823999999999998,0.0033177599999999995,0.0007962623999999999,0.1152,0.027647999999999995,0.13271039999999998,0.08520007679999998,0.1152,0.6082559999999999,1.5892070399999998,0.36075847679999995,0.30804224781855627,2.3126630399999994,1.197752409723736
code_n24_k12_cw3_023_q02,code_n24_k12_cw3_023,q02,validation,0.3,24,12,12,0.5,0.19999999999999996,3,0.25,6.0,6.666666666666667,2.0,11.0,3.0,0.0,3.0,3.0,0,0,1,0,1,24,2,0,8,0,55430,exact_all,2,2,2,40,107,12926,exact,2,2,44,479,0.09,0.026999999999999996,0.0081,0.0024299999999999994,0.18,0.05399999999999999,0.32399999999999995,0.26000999999999996,0.18,1.1879999999999997,3.8798999999999997,0.8180099999999999,0.597742496290214,5.2479,1.8322454072876626
code_n24_k12_cw3_023_q03,code_n24_k12_cw3_023,q03,validation,0.36,24,12,12,0.5,0.14,3,0.25,6.0,6.666666666666667,2.0,11.0,3.0,0.0,3.0,3.0,0,0,1,0,1,24,2,0,8,0,55430,exact_all,2,2,2,40,107,12926,exact,2,2,44,479,0.1296,0.046655999999999996,0.016796159999999997,0.006046617599999999,0.2592,0.09331199999999999,0.6718464,0.6469880831999999,0.2592,2.052864,8.045360639999998,1.6713464831999998,0.9825826461192025,10.357424639999998,2.4298716833663656
code_n24_k12_cw3_024_q00,code_n24_k12_cw3_024,q00,train,0.18,24,12,12,0.5,0.32000000000000006,3,0.25,6.0,6.833333333333333,3.0,10.0,3.0,0.0,3.0,3.0,0,0,0,0,2,24,3,0,7,0,55430,exact_all,3,0,3,17,100,12926,exact,4,0,0,12,0.0324,0.0058319999999999995,0.0010497599999999998,0.00018895679999999997,0.0,0.017495999999999998,0.017845919999999998,0.018895679999999998,0.0,0.0,0.012597119999999998,0.0542376,0.05281785165930624,0.012597119999999998,0.012518436386087699
